Category,Rating,Rating Count,Installs,Free,Price,Minimum Android,Content Rating,Ad Supported,In App Purchases,Editors Choice,Name Length,Size in MB,App Age,Last Update Age
Casino,3.9,675.0,196166.0,True,0.0,2,Teen,True,False,False,11.0,4.1,3783.0,2320.0
Word,5.0,32.0,531.0,True,0.0,4,Everyone,True,True,False,12.0,37.0,1419.0,1419.0
Maps & Navigation,2.7,7.0,1126.0,True,0.0,4,Everyone,False,False,False,8.0,1.6,2254.0,1769.0
Education,4.3,11.0,4855.0,True,0.0,4,Everyone,True,True,False,47.0,13.0,1609.0,118.0
Personalization,4.7,89.0,17028.0,True,0.0,4,Everyone,True,False,False,37.0,3.3,1071.0,113.0
Social,3.8,47.0,13890.0,True,0.0,4,Mature 17+,True,False,False,18.0,25.0,718.0,4.0
Puzzle,4.6,18.0,31.0,True,0.0,4,Teen,True,False,False,26.0,25.0,154.0,131.0
Entertainment,4.9,376.0,32589.0,True,0.0,4,Everyone,True,False,False,37.0,3.4,217.0,216.0
Personalization,4.3,1658.0,90155.0,True,0.0,4,Everyone,False,False,False,21.0,42.0,1282.0,1282.0
Books & Reference,4.0,32.0,8476.0,True,0.0,4,Everyone,True,False,False,2.0,6.5,1146.0,642.0
Lifestyle,5.0,9.0,242.0,True,0.0,5,Everyone,False,False,False,15.0,47.0,68.0,68.0
Productivity,3.7,40.0,10402.0,True,0.0,4,Everyone,True,False,False,18.0,7.0,462.0,462.0
Arcade,5.0,16.0,34.0,True,0.0,5,Everyone,True,False,False,9.0,31.0,363.0,356.0
Books & Reference,4.0,344.0,48318.0,True,0.0,4,Everyone,True,False,False,37.0,8.6,1015.0,37.0
Food & Drink,4.8,5.0,173.0,True,0.0,4,Everyone,False,False,False,14.0,30.0,102.0,77.0
Finance,4.3,29.0,2048.0,True,0.0,4,Everyone,True,False,False,21.0,13.0,368.0,343.0
Libraries & Demo,3.8,1258.0,243383.0,True,0.0,4,Everyone,True,False,False,9.0,6.0,1332.0,6.0
Books & Reference,5.0,36.0,8040.0,True,0.0,2,Everyone,True,False,False,18.0,5.7,1068.0,1068.0
Education,3.6,23.0,1397.0,True,0.0,4,Everyone,False,False,False,26.0,16.0,585.0,223.0
Education,4.2,31.0,1994.0,False,1.99,4,Everyone,False,True,False,20.0,93.0,2903.0,873.0
Health & Fitness,4.2,56.0,30189.0,True,0.0,4,Everyone,True,False,False,21.0,16.0,1177.0,1134.0
Lifestyle,4.1,7.0,453.0,True,0.0,8,Everyone,False,False,False,49.0,4.7,297.0,297.0
Maps & Navigation,3.3,72.0,10446.0,True,0.0,4,Everyone,False,False,False,7.0,4.7,1775.0,1510.0
Tools,4.0,28.0,3412.0,True,0.0,4,Everyone,False,False,False,16.0,3.2,3328.0,781.0
Libraries & Demo,4.7,10040.0,339449.0,True,0.0,4,Everyone,False,False,False,13.0,28.0,593.0,39.0
Education,4.5,543.0,42260.0,True,0.0,4,Everyone,True,True,False,26.0,12.0,2093.0,541.0
Music & Audio,4.8,37.0,4953.0,True,0.0,4,Everyone,True,False,False,12.0,7.4,928.0,768.0
News & Magazines,4.1,130.0,12829.0,True,0.0,4,Everyone,True,False,False,9.0,11.0,76.0,3.0
Trivia,4.2,24.0,1960.0,True,0.0,5,Everyone,True,True,False,48.0,69.0,138.0,138.0
Food & Drink,5.0,6.0,412.0,True,0.0,4,Everyone,False,False,False,16.0,4.8,336.0,330.0
